Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
175,Maze128,PIBT_TCP,1,Timeout,180.00,484,500,3.2,12,12,1819,0,3416,935
176,Maze128,PIBT_TCP,2,Timeout,180.00,487,500,2.7,12,12,1647,0,3001,912
177,Maze128,PIBT_TCP,3,Timeout,180.00,487,500,2.5,12,12,1703,0,3883,718
178,Maze128,PIBT_TCP,4,Timeout,180.00,484,500,3.1,12,12,1808,0,4295,779
179,Maze128,PIBT_TCP,5,Timeout,180.00,487,500,2.6,12,12,1808,0,4477,873
180,Maze128,PIBT_TCP,6,Timeout,180.00,487,500,2.6,12,12,1762,0,4110,878
181,Alpha32,AStar,1,EagleDestroyed,22.90,-1,500,0.0,24,24,654,0,4595,191
182,Alpha32,AStar,2,EagleDestroyed,23.12,-1,500,0.0,24,24,601,0,3632,205
183,Alpha32,AStar,3,EagleDestroyed,22.94,-1,500,0.0,24,24,618,0,3800,220
184,Alpha32,AStar,4,EagleDestroyed,22.94,-1,500,0.0,24,24,617,0,3886,209
185,Alpha32,AStar,5,EagleDestroyed,23.21,-1,500,0.0,24,24,646,0,3031,182
186,Alpha32,AStar,6,EagleDestroyed,23.50,-1,500,0.0,24,24,572,0,3430,211
187,Alpha32,PIBT,1,EagleDestroyed,21.38,-1,500,0.0,24,24,808,0,2164,169
188,Alpha32,PIBT,2,EagleDestroyed,22.59,-1,500,0.0,24,24,867,0,2751,186
189,Alpha32,PIBT,3,EagleDestroyed,21.97,-1,500,0.0,24,24,952,0,1812,193
190,Alpha32,PIBT,4,EagleDestroyed,20.87,-1,500,0.0,24,24,835,0,3099,167
191,Alpha32,PIBT,5,EagleDestroyed,21.66,-1,500,0.0,24,24,739,0,2201,213
192,Alpha32,PIBT,6,EagleDestroyed,21.73,-1,500,0.0,24,24,844,0,2938,225
193,Alpha32,PIBT_TCP,1,EagleDestroyed,22.92,-1,500,0.0,24,24,755,0,13919,388
194,Alpha32,PIBT_TCP,2,EagleDestroyed,24.29,-1,500,0.0,24,24,841,0,12527,381
195,Alpha32,PIBT_TCP,3,EagleDestroyed,24.51,-1,500,0.0,24,24,725,0,15607,383
196,Alpha32,PIBT_TCP,4,EagleDestroyed,22.93,-1,500,0.0,24,24,728,0,18395,394
197,Alpha32,PIBT_TCP,5,EagleDestroyed,23.89,-1,500,0.0,24,24,753,0,13815,402
198,Alpha32,PIBT_TCP,6,EagleDestroyed,24.26,-1,500,0.0,24,24,746,0,14057,405
199,Mansion,AStar,1,EagleDestroyed,86.76,-1,500,0.0,24,24,2160,0,488,617
200,Mansion,AStar,2,EagleDestroyed,84.99,-1,500,0.0,24,24,2337,0,453,830
201,Mansion,AStar,3,EagleDestroyed,83.87,-1,500,0.0,24,24,2339,0,465,855
202,Mansion,AStar,4,EagleDestroyed,85.64,-1,500,0.0,24,24,2186,0,436,926
203,Mansion,AStar,5,EagleDestroyed,84.93,-1,500,0.0,24,24,2233,0,335,707
204,Mansion,AStar,6,EagleDestroyed,83.82,-1,500,0.0,24,24,2377,0,497,764
205,Mansion,PIBT,1,EagleDestroyed,110.84,-1,500,0.0,24,24,2637,0,115,817
206,Mansion,PIBT,2,EagleDestroyed,110.77,-1,500,0.0,24,24,2237,0,87,852
207,Mansion,PIBT,3,EagleDestroyed,109.07,-1,500,0.0,24,24,2427,0,76,744
208,Mansion,PIBT,4,EagleDestroyed,111.59,-1,500,0.0,24,24,3136,0,104,867
209,Mansion,PIBT,5,EagleDestroyed,108.62,-1,500,0.0,24,24,2529,0,77,678
210,Mansion,PIBT,6,EagleDestroyed,114.51,-1,500,0.0,24,24,2747,0,76,739
211,Mansion,PIBT_TCP,1,EagleDestroyed,89.88,-1,500,0.0,24,24,2715,0,1921,1632
212,Mansion,PIBT_TCP,2,EagleDestroyed,89.73,-1,500,0.0,24,24,2502,0,1635,1626
213,Mansion,PIBT_TCP,3,EagleDestroyed,81.18,-1,500,0.0,24,24,2776,0,1675,1917
214,Mansion,PIBT_TCP,4,EagleDestroyed,88.66,-1,500,0.0,24,24,2638,0,1718,1719
215,Mansion,PIBT_TCP,5,EagleDestroyed,84.49,-1,500,0.0,24,24,2298,0,1143,1723
216,Mansion,PIBT_TCP,6,EagleDestroyed,87.46,-1,500,0.0,24,24,2449,0,1682,1667
217,Chantry,AStar,1,EagleDestroyed,80.03,-1,500,0.0,24,24,2214,0,585,946
218,Chantry,AStar,2,EagleDestroyed,80.78,-1,500,0.0,24,24,2265,0,557,1006
219,Chantry,AStar,3,EagleDestroyed,81.43,-1,500,0.0,24,24,2066,0,888,1100
220,Chantry,AStar,4,EagleDestroyed,80.41,-1,500,0.0,24,24,2406,0,720,939
221,Chantry,AStar,5,EagleDestroyed,79.25,-1,500,0.0,24,24,2421,0,792,770
222,Chantry,AStar,6,EagleDestroyed,79.31,-1,500,0.0,24,24,2260,0,617,922
