Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
118,Mansion,PIBT,4,EagleDestroyed,177.66,-1,500,0.0,12,12,7271,862,81720,487
119,Mansion,PIBT,5,EagleDestroyed,164.10,-1,500,0.0,12,12,10769,1614,143474,532
120,Mansion,PIBT,6,EagleDestroyed,168.98,-1,500,0.0,12,12,6272,356,102787,503
121,Mansion,PIBT_TCP,1,EagleDestroyed,138.48,-1,500,0.0,12,12,2671,60,157739,992
122,Mansion,PIBT_TCP,2,EagleDestroyed,142.51,-1,500,0.0,12,12,2450,52,128790,1007
123,Mansion,PIBT_TCP,3,EagleDestroyed,145.23,-1,500,0.0,12,12,2625,40,161844,840
124,Mansion,PIBT_TCP,4,EagleDestroyed,140.64,-1,500,0.0,12,12,2277,42,130312,901
125,Mansion,PIBT_TCP,5,EagleDestroyed,144.43,-1,500,0.0,12,12,2581,55,186971,851
126,Mansion,PIBT_TCP,6,EagleDestroyed,148.12,-1,500,0.0,12,12,2589,42,167263,1126
127,Chantry,AStar,1,EagleDestroyed,179.50,-1,500,0.0,12,12,3592,73,133842,930
128,Chantry,AStar,2,EagleDestroyed,179.05,-1,500,0.0,12,12,3581,41,109069,946
129,Chantry,AStar,3,EagleDestroyed,179.50,-1,500,0.0,12,12,3612,56,91104,856
130,Chantry,AStar,4,EagleDestroyed,177.93,-1,500,0.0,12,12,3558,52,152600,1102
131,Chantry,AStar,5,EagleDestroyed,178.50,-1,500,0.0,12,12,3581,74,85941,941
132,Chantry,AStar,6,EagleDestroyed,179.50,-1,500,0.0,12,12,3594,59,120800,1038
133,Chantry,PIBT,1,EagleDestroyed,168.77,-1,500,0.0,12,12,13718,1314,95216,775
134,Chantry,PIBT,2,EagleDestroyed,170.52,-1,500,0.0,12,12,13147,806,78276,889
135,Chantry,PIBT,3,EagleDestroyed,172.37,-1,500,0.0,12,12,17961,1497,71283,880
136,Chantry,PIBT,4,EagleDestroyed,171.87,-1,500,0.0,12,12,10848,2076,78268,718
137,Chantry,PIBT,5,EagleDestroyed,171.40,-1,500,0.0,12,12,16869,1056,84716,920
138,Chantry,PIBT,6,EagleDestroyed,169.57,-1,500,0.0,12,12,19079,855,84890,807
139,Chantry,PIBT_TCP,1,EagleDestroyed,178.79,-1,500,0.0,12,12,3181,143,101285,1452
140,Chantry,PIBT_TCP,2,EagleDestroyed,179.50,-1,500,0.0,12,12,3983,179,134247,1488
141,Chantry,PIBT_TCP,3,EagleDestroyed,179.50,-1,500,0.0,12,12,3658,72,117403,1399
142,Chantry,PIBT_TCP,4,EagleDestroyed,175.77,-1,500,0.0,12,12,2961,152,143329,1137
143,Chantry,PIBT_TCP,5,EagleDestroyed,179.50,-1,500,0.0,12,12,3589,187,147217,1455
144,Chantry,PIBT_TCP,6,EagleDestroyed,173.80,-1,500,0.0,12,12,3545,207,113254,1121
145,Gallows,AStar,1,EagleDestroyed,151.28,-1,500,0.0,12,12,3799,53,117070,778
146,Gallows,AStar,2,EagleDestroyed,151.36,-1,500,0.0,12,12,3839,45,103662,705
147,Gallows,AStar,3,EagleDestroyed,151.60,-1,500,0.0,12,12,3789,42,98740,663
148,Gallows,AStar,4,EagleDestroyed,150.78,-1,500,0.0,12,12,3805,46,77102,686
149,Gallows,AStar,5,EagleDestroyed,150.05,-1,500,0.0,12,12,3799,25,107134,804
150,Gallows,AStar,6,EagleDestroyed,151.12,-1,500,0.0,12,12,3813,40,75314,634
151,Gallows,PIBT,1,EagleDestroyed,176.13,-1,500,0.0,12,12,16581,853,75881,522
152,Gallows,PIBT,2,EagleDestroyed,179.50,-1,500,0.0,12,12,16285,1324,93322,530
153,Gallows,PIBT,3,EagleDestroyed,179.05,-1,500,0.0,12,12,12327,1121,73623,497
154,Gallows,PIBT,4,EagleDestroyed,179.50,-1,500,0.0,12,12,13912,1150,62423,572
155,Gallows,PIBT,5,EagleDestroyed,179.16,-1,500,0.0,12,12,12478,1113,94881,571
156,Gallows,PIBT,6,EagleDestroyed,179.01,-1,500,0.0,12,12,10506,2003,59643,551
157,Gallows,PIBT_TCP,1,EagleDestroyed,178.13,-1,500,0.0,12,12,3182,119,145381,1038
158,Gallows,PIBT_TCP,2,EagleDestroyed,173.17,-1,500,0.0,12,12,3080,117,124745,1174
159,Gallows,PIBT_TCP,3,EagleDestroyed,174.39,-1,500,0.0,12,12,3244,127,121095,1097
160,Gallows,PIBT_TCP,4,EagleDestroyed,172.11,-1,500,0.0,12,12,2809,113,75902,1095
161,Gallows,PIBT_TCP,5,EagleDestroyed,170.85,-1,500,0.0,12,12,3509,100,120158,1130
162,Gallows,PIBT_TCP,6,EagleDestroyed,177.45,-1,500,0.0,12,12,3236,72,147671,1193
163,Maze128,AStar,1,Timeout,180.00,474,500,5.2,12,12,2916,64,0,1104
164,Maze128,AStar,2,Timeout,180.00,469,500,6.2,12,12,2934,54,0,1259
165,Maze128,AStar,3,Timeout,180.00,475,500,5.0,12,12,2927,21,0,1244
166,Maze128,AStar,4,Timeout,180.00,470,500,6.0,12,12,2915,18,0,1271
167,Maze128,AStar,5,Timeout,180.00,472,500,5.6,12,12,2968,84,0,1291
168,Maze128,AStar,6,Timeout,180.00,475,500,5.0,12,12,2884,49,0,1187
169,Maze128,PIBT,1,Timeout,180.00,474,500,5.2,12,12,3001,942,0,873
170,Maze128,PIBT,2,Timeout,180.00,472,500,5.6,12,12,2915,780,0,1031
171,Maze128,PIBT,3,Timeout,180.00,471,500,5.8,12,12,2843,132,0,965
172,Maze128,PIBT,4,Timeout,180.00,468,500,6.4,12,12,2907,1877,0,1007
